Area name,2011 One person household: Aged 65 years and over,2021 One person household: Aged 66 years and over,2011 One person household: Other,2021 One person household: Other,2011 Single family household: Couple family household: No children,2021 Single family household: Couple family household: No children,2011 Single family household: Couple family household: Dependent children,2021 Single family household: Couple family household: Dependent children,2011 Single family household: Couple family household: All children non-dependent,2021 Single family household: Couple family household: All children non-dependent,2011 Single family household: Lone parent household,2021 Single family household: Lone parent household,2011 Other household types,2021 Other household types,2011 Percentage: One person household: Aged 65 years and over,2021 Percentage: One person household: Aged 66 years and over,2011 Percentage: One person household: Other,2021 Percentage: One person household: Other,2011 Percentage: Single family household: Couple family household: No children,2021 Percentage: Single family household: Couple family household: No children,2011 Percentage: Single family household: Couple family household: Dependent children,2021 Percentage: Single family household: Couple family household: Dependent children,2011 Percentage: Single family household: Couple family household: All children non-dependent,2021 Percentage: Single family household: Couple family household: All children non-dependent,2011 Percentage: Single family household: Lone parent household,2021 Percentage: Single family household: Lone parent household,2011 Percentage: Other household types,2021 Percentage: Other household types,Percentage point change: One person household: Aged 66 years and over (65 years and over in 2011),Percentage point change: One person household: Other,Percentage point change: Single family household: Couple family household: No children,Percentage point change: Single family household: Couple family household: Dependent children,Percentage point change: Single family household: Couple family household: All children non-dependent,Percentage point change: Single family household: Lone parent household,Percentage point change: Other household types
London,Region,"312,022","313,049","718,536","688,934","449,554","485,878","581,814","642,585","167,946","198,121","413,464","453,937","622,837","641,386",9.6,9.1,22.0,20.1,13.8,14.2,17.8,18.8,5.1,5.8,12.7,13.3,19.1,18.7,-0.4,-1.9,0.4,1.0,0.6,0.6,-0.3
City of London,526,494,"1,946","2,012",864,"1,121",306,310,63,80,153,175,527,724,12.0,10.0,44.4,40.9,19.7,22.8,7.0,6.3,1.4,1.6,3.5,3.6,12.0,14.7,-1.9,-3.5,3.1,-0.7,0.2,0.1,2.7
Barking and Dagenham,"7,347","5,991","11,868","11,512","7,025","6,229","14,551","17,818","4,057","4,838","13,270","14,116","11,563","13,400",10.5,8.1,17.0,15.6,10.1,8.4,20.9,24.1,5.8,6.5,19.0,19.1,16.6,18.1,-2.4,-1.5,-1.7,3.2,0.7,0.1,1.5
Barnet,"14,407","15,208","23,550","26,450","17,760","18,646","29,332","32,601","8,752","10,402","15,754","18,103","26,361","27,509",10.6,10.2,17.3,17.8,13.1,12.5,21.6,21.9,6.4,7.0,11.6,12.2,19.4,18.5,-0.4,0.4,-0.5,0.3,0.5,0.6,-0.9
Bexley,"11,992","11,968","13,797","12,785","13,326","12,565","19,928","20,932","7,471","8,204","11,689","12,681","14,401","16,165",12.9,12.6,14.9,13.4,14.4,13.2,21.5,22.0,8.1,8.6,12.6,13.3,15.6,17.0,-0.4,-1.5,-1.2,0.4,0.5,0.7,1.4
Brent,"8,808","9,712","21,808","22,273","10,632","12,556","19,313","20,985","7,334","8,378","15,356","17,678","27,035","27,030",8.0,8.2,19.8,18.8,9.6,10.6,17.5,17.7,6.6,7.1,13.9,14.9,24.5,22.8,0.2,-1.0,0.9,0.2,0.4,1.0,-1.7
Bromley,"16,856","17,443","23,959","21,225","20,822","20,783","27,130","30,428","8,688","9,579","14,442","15,447","18,965","20,923",12.9,12.8,18.3,15.6,15.9,15.3,20.7,22.4,6.6,7.1,11.0,11.4,14.5,15.4,0.0,-2.7,-0.6,1.7,0.4,0.3,0.9
Camden,"10,113","9,718","29,418","26,213","14,361","14,621","12,214","12,849","2,620","3,027","9,715","10,559","19,093","15,771",10.4,10.5,30.2,28.3,14.7,15.8,12.5,13.9,2.7,3.3,10.0,11.4,19.6,17.0,0.1,-1.9,1.0,1.3,0.6,1.4,-2.6
Croydon,"14,107","14,652","28,936","28,439","18,589","19,848","27,503","29,290","9,016","10,343","23,160","24,543","23,699","25,832",9.7,9.6,20.0,18.6,12.8,13.0,19.0,19.2,6.2,6.8,16.0,16.0,16.3,16.9,-0.1,-1.4,0.2,0.2,0.5,0.1,0.5
Ealing,"11,328","11,837","24,001","23,825","15,068","16,810","24,555","27,688","7,570","9,278","15,138","17,248","26,422","26,973",9.1,8.9,19.3,17.8,12.1,12.6,19.8,20.7,6.1,6.9,12.2,12.9,21.3,20.2,-0.3,-1.5,0.4,0.9,0.8,0.7,-1.1
Enfield,"12,108","12,251","21,251","18,908","13,660","11,938","24,447","24,205","8,687","9,764","19,978","22,424","19,785","21,439",10.1,10.1,17.7,15.6,11.4,9.9,20.4,20.0,7.2,8.1,16.7,18.5,16.5,17.7,0.0,-2.1,-1.5,-0.4,0.8,1.9,1.2
Greenwich,"9,418","9,581","22,952","24,467","13,402","17,894","18,143","20,565","5,015","5,843","14,644","17,095","17,471","18,607",9.3,8.4,22.7,21.5,13.3,15.7,18.0,18.0,5.0,5.1,14.5,15.0,17.3,16.3,-0.9,-1.3,2.4,0.1,0.2,0.5,-1.0
