Area name,2011 Aged 4 years and under,2021 Aged 4 years and under,2011 Aged 5 to 9 years,2021 Aged 5 to 9 years,2011 Aged 10 to 15 years,2021 Aged 10 to 15 years,2011 Aged 16 to 19 years,2021 Aged 16 to 19 years,2011 Aged 20 to 24 years,2021 Aged 20 to 24 years,2011 Aged 25 to 34 years,2021 Aged 25 to 34 years,2011 Aged 35 to 49 years,2021 Aged 35 to 49 years,2011 Aged 50 to 64 years,2021 Aged 50 to 64 years,2011 Aged 65 to 74 years,2021 Aged 65 to 74 years,2011 Aged 75 to 84 years,2021 Aged 75 to 84 years,2011 Aged 85 years and over,2021 Aged 85 years and over,2011 Percentage: Aged 4 years and under,2021 Percentage: Aged 4 years and under,2011 Percentage: Aged 5 to 9 years,2021 Percentage: Aged 5 to 9 years,2011 Percentage: Aged 10 to 15 years,2021 Percentage: Aged 10 to 15 years,2011 Percentage: Aged 16 to 19 years,2021 Percentage: Aged 16 to 19 years,2011 Percentage: Aged 20 to 24 years,2021 Percentage: Aged 20 to 24 years,2011 Percentage: Aged 25 to 34 years,2021 Percentage: Aged 25 to 34 years,2011 Percentage: Aged 35 to 49 years,2021 Percentage: Aged 35 to 49 years,2011 Percentage: Aged 50 to 64 years,2021 Percentage: Aged 50 to 64 years,2011 Percentage: Aged 65 to 74 years,2021 Percentage: Aged 65 to 74 years,2011 Percentage: Aged 75 to 84 years,2021 Percentage: Aged 75 to 84 years,2011 Percentage: Aged 85 years and over,2021 Percentage: Aged 85 years and over,Percentage point change: Aged 4 years and under,Percentage point change: Aged 5 to 9 years,Percentage point change: Aged 10 to 15 years,Percentage point change: Aged 16 to 19 years,Percentage point change: Aged 20 to 24 years,Percentage point change: Aged 25 to 34 years,Percentage point change: Aged 35 to 49 years,Percentage point change: Aged 50 to 64 years,Percentage point change: Aged 65 to 74 years,Percentage point change: Aged 75 to 84 years,Percentage point change: Aged 85 years and over
London,Region,"591,495","528,953","482,809","531,496","550,464","635,291","378,060","389,537","629,972","589,185","1,629,854","1,594,891","1,830,722","1,996,961","1,175,816","1,489,993","473,058","575,478","308,661","330,329","123,030","137,609",7.2,6.0,5.9,6.0,6.7,7.2,4.6,4.4,7.7,6.7,19.9,18.1,22.4,22.7,14.4,16.9,5.8,6.5,3.8,3.8,1.5,1.6,-1.2,0.1,0.5,-0.2,-1.0,-1.8,0.3,2.5,0.8,0.0,0.1
City of London,236,214,182,160,202,206,164,185,545,965,"1,776","2,213","1,825","1,815","1,410","1,617",587,711,331,372,117,121,3.2,2.5,2.5,1.9,2.7,2.4,2.2,2.2,7.4,11.2,24.1,25.8,24.7,21.2,19.1,18.8,8.0,8.3,4.5,4.3,1.6,1.4,-0.7,-0.6,-0.3,-0.1,3.9,1.7,-3.6,-0.3,0.3,-0.2,-0.2
Barking and Dagenham,"18,676","17,251","14,331","18,331","15,291","21,545","10,051","11,810","13,053","13,240","30,212","33,271","40,438","50,641","24,538","33,747","9,276","10,720","6,982","5,819","3,063","2,488",10.0,7.9,7.7,8.4,8.2,9.8,5.4,5.4,7.0,6.0,16.3,15.2,21.8,23.1,13.2,15.4,5.0,4.9,3.8,2.7,1.6,1.1,-2.2,0.7,1.6,0.0,-1.0,-1.0,1.4,2.2,-0.1,-1.1,-0.5
Barnet,"26,239","24,106","22,352","25,252","25,643","30,632","16,230","16,639","23,913","22,395","61,596","58,216","77,672","88,344","55,309","67,656","23,723","29,805","16,034","17,803","7,675","8,492",7.4,6.2,6.3,6.5,7.2,7.9,4.6,4.3,6.7,5.8,17.3,15.0,21.8,22.7,15.5,17.4,6.7,7.7,4.5,4.6,2.2,2.2,-1.2,0.2,0.7,-0.3,-1.0,-2.3,0.9,1.9,1.0,0.1,0.0
Bexley,"15,182","15,029","14,015","16,198","18,369","19,419","12,477","11,133","14,832","13,506","28,514","31,988","50,667","50,860","40,729","47,448","18,695","21,194","13,408","13,765","5,109","5,933",6.5,6.1,6.0,6.6,7.9,7.9,5.4,4.5,6.4,5.5,12.3,13.0,21.8,20.6,17.6,19.3,8.1,8.6,5.8,5.6,2.2,2.4,-0.4,0.5,0.0,-0.9,-0.9,0.7,-1.2,1.7,0.5,-0.2,0.2
Brent,"22,446","19,970","18,648","19,834","21,663","24,870","14,868","16,623","24,198","24,589","64,888","59,159","66,644","76,164","45,184","59,052","17,944","21,908","11,137","12,466","3,595","5,183",7.2,5.9,6.0,5.8,7.0,7.3,4.8,4.9,7.8,7.2,20.8,17.4,21.4,22.4,14.5,17.4,5.8,6.4,3.6,3.7,1.2,1.5,-1.3,-0.2,0.4,0.1,-0.5,-3.4,1.0,2.9,0.7,0.1,0.4
Bromley,"20,095","19,491","18,061","20,627","22,430","24,785","14,094","13,354","16,119","14,676","38,951","40,752","71,380","73,535","56,225","64,529","25,770","29,853","18,452","19,373","7,815","9,014",6.5,5.9,5.8,6.3,7.2,7.5,4.6,4.0,5.2,4.4,12.6,12.3,23.1,22.3,18.2,19.6,8.3,9.0,6.0,5.9,2.5,2.7,-0.6,0.4,0.3,-0.5,-0.8,-0.2,-0.8,1.4,0.7,-0.1,0.2
Camden,"13,168","10,032","10,898","9,873","11,399","12,323","10,718","11,808","21,863","20,165","50,350","42,543","48,390","44,408","29,575","34,157","12,937","13,663","7,897","8,099","3,143","3,063",6.0,4.8,4.9,4.7,5.2,5.9,4.9,5.6,9.9,9.6,22.9,20.2,22.0,21.1,13.4,16.3,5.9,6.5,3.6,3.9,1.4,1.5,-1.2,-0.2,0.7,0.8,-0.3,-2.6,-0.8,2.8,0.6,0.3,0.0
Croydon,"27,972","25,171","23,096","24,992","28,042","30,158","18,654","17,612","23,591","21,620","56,334","59,140","82,325","85,735","58,989","73,218","23,155","29,022","15,318","16,944","5,902","7,106",7.7,6.4,6.4,6.4,7.7,7.7,5.1,4.5,6.5,5.5,15.5,15.1,22.7,21.9,16.2,18.7,6.4,7.4,4.2,4.3,1.6,1.8,-1.3,0.0,0.0,-0.6,-1.0,-0.4,-0.7,2.5,1.1,0.1,0.2
Ealing,"25,426","21,515","20,385","22,245","23,066","27,984","14,650","17,463","24,552","22,626","67,575","59,678","76,746","86,819","49,822","64,326","19,419","24,982","12,152","13,965","4,656","5,519",7.5,5.9,6.0,6.1,6.8,7.6,4.3,4.8,7.3,6.2,20.0,16.3,22.7,23.6,14.7,17.5,5.7,6.8,3.6,3.8,1.4,1.5,-1.7,0.0,0.8,0.4,-1.1,-3.7,1.0,2.8,1.1,0.2,0.1
Enfield,"24,513","21,259","20,930","22,750","24,558","28,793","16,258","16,653","21,726","19,116","49,086","44,300","68,953","71,281","47,609","60,819","20,392","23,948","13,159","14,643","5,282","6,424",7.8,6.4,6.7,6.9,7.9,8.7,5.2,5.0,7.0,5.8,15.7,13.4,22.1,21.6,15.2,18.4,6.5,7.3,4.2,4.4,1.7,1.9,-1.4,0.2,0.9,-0.2,-1.2,-2.3,-0.5,3.2,0.7,0.2,0.3
Greenwich,"20,945","19,027","16,325","18,782","18,124","21,512","12,921","12,589","19,987","18,363","47,326","52,584","57,506","68,305","35,307","47,680","13,675","17,300","8,692","9,403","3,749","3,522",8.2,6.6,6.4,6.5,7.1,7.4,5.1,4.4,7.9,6.4,18.6,18.2,22.6,23.6,13.9,16.5,5.4,6.0,3.4,3.3,1.5,1.2,-1.6,0.1,0.3,-0.7,-1.5,-0.4,1.0,2.6,0.6,-0.2,-0.3
